v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   3 1 1 1 1 1     15383.6975788278    1.678e-03     17     8       R+
   2 0 2 8 5 3     15383.8888062208    1.099e-03      7     6       R+
   2 0 1 20 3 17   15384.3552136992    1.488e-02      7     2       R-
   2 0 2 8 5 4     15385.5581868178    1.942e-03     13     6       R+
   4 1 0 1 1 0     15386.0531800827    1.719e-03     11     5       R+
   3 0 1 10 5 5    15387.3222654523    2.574e-03     23     9       R+
   0 3 1 24 3 21   15388.2900022981    1.727e-02      8     3       R-
   3 1 1 1 1 0     15389.1571619374    1.126e-03      8     5       R+
   0 0 4 7 4 3     15390.4059830311    1.185e-03     10     4       R+
   0 4 1 20 4 16   15396.3026012662    1.576e-02      7     4       R-
   1 0 0 26 18 8   15396.3904721840    1.972e-02      8     2       R-
   1 0 0 26 18 9   15396.3908496290    4.982e-03      8     6       R-
   2 3 1 4 1 3     15397.8641917404    1.744e-03     14     6       R+
   0 2 1 28 2 26   15398.1850199478    1.529e-02      6     3       R-
   2 0 2 7 7 1     15399.3555199746    1.827e-03      6     3       R+
   2 0 2 7 7 0     15399.3607720007    1.482e-03     21     8       R+
   0 0 4 9 0 9     15399.5607204502    5.086e-03      6     5       R+
   3 0 0 19 5 14   15399.7999311051    1.132e-02      1     1       U 
   1 3 2 1 0 1     15400.6053460991    3.000e-03      2     2       R-
   4 0 0 11 2 9    15402.5229387388    1.912e-03     19     7       R+
   1 2 2 8 6 2     15402.9327675358    7.000e-03      7     5       R-
   1 2 2 8 6 3     15402.9356876191    1.626e-03      9     6       R+
   1 0 1 27 4 24   15403.6959450107    1.189e-02      3     3       R-
   4 0 0 11 3 9    15403.7593899907    8.002e-03      2     2       R-
   2 0 1 16 12 4   15403.7819711702    1.037e-02      5     2       R-
   2 0 1 16 12 5   15403.7822251702    1.062e-02      5     2       R-
   2 4 0 8 8 1     15405.1069378602    1.876e-03     10     6       R+
   2 4 0 8 8 0     15405.1084273836    1.660e-03      8     5       R+
   0 2 3 9 4 6     15405.2019186243    8.660e-03      8     4       R+
   3 0 0 16 12 5   15406.2412919616    1.183e-02      9     3       R-
   3 0 0 16 12 4   15406.2415678427    1.148e-02      9     2       R-
   2 2 1 8 8 0     15406.5362218381    1.380e-03     18     7       R+
   2 2 1 8 8 1     15406.5362788381    1.432e-03     18     9       R+
   3 0 1 11 2 9    15407.1228108853    1.281e-03     14     8       R+
   3 0 1 11 3 9    15408.1346790293    1.635e-03     25    12       R+
   0 0 3 19 4 16   15409.6997368513    2.002e-02      1     1       U 
   4 1 0 2 0 2     15410.6017678433    4.685e-03      9     5       R+
   0 1 0 31 13 18  15411.3929605386    6.978e-03      2     1       U 
   1 1 0 22 19 3   15411.8236504021    8.029e-03      5     2       R-
   1 1 0 22 19 4   15411.8236504021    8.029e-03      5     2       R-
   0 1 0 31 13 19  15411.9807257001    1.997e-02      2     1       S 
   1 0 0 29 12 17  15413.1786905730    1.764e-02      3     1       R-
   3 1 1 2 0 2     15413.9487307828    1.230e-03     21     6       R+
   0 4 1 24 0 24   15415.8903979563    1.475e-02      5     4       R-
   0 6 1 9 7 3     15416.5412214639    1.947e-03     17     8       R+
   0 6 1 9 7 2     15416.5416354314    8.099e-03     11     5       R-
   0 3 1 22 7 15   15416.8988873792    1.723e-02      6     3       R-
   0 2 0 36 0 36   15418.0258141485    2.230e-03      5     3       R-
   0 2 0 36 1 36   15418.0258671485    2.366e-03      5     3       R-
   3 3 0 5 0 5     15418.4311890260    3.000e-03      6     3       R-
   4 1 0 2 1 2     15420.1875243456    1.163e-03     19     6       R+
   2 0 2 10 2 9    15421.7520176626    4.554e-03     10     8       R+
   2 0 2 9 3 6     15422.4551434590    1.611e-03     10     5       R+
   3 1 1 2 1 2     15423.1919866155    1.561e-03     15     5       R+
   1 2 2 7 7 0     15423.2369857852    1.968e-03     10     7       R+
   1 2 2 7 7 1     15423.2378468482    1.500e-03      8     4       R-
   0 1 0 30 15 16  15423.9640595035    7.911e-03      3     1       R-
   0 1 0 30 15 15  15424.1397539572    5.908e-03      2     1       S 
   0 0 1 27 16 11  15424.2960188719    6.969e-03      7     4       R-
   0 0 1 27 16 12  15424.2974058719    4.650e-03      6     4       R-
   3 2 0 11 3 8    15424.8628090282    4.003e-03      1     1       U 
   0 7 1 10 1 9    15426.0193508934    1.155e-02      1     1       U 
   1 0 2 14 14 1   15428.1325707381    6.124e-03      3     3       R-
   1 0 2 14 14 0   15428.1325707381    6.124e-03      3     2       R-
   1 0 0 25 20 5   15428.8054283437    5.835e-03      5     3       R-
   1 0 0 25 20 6   15428.8054393437    5.836e-03      5     2       R-
   2 3 1 5 0 5     15429.9036781458    1.544e-03     10     5       R+
   0 3 1 25 3 23   15430.9938969346    1.985e-02      8     3       R-
   0 4 2 10 5 6    15431.4936425845    8.001e-03      2     2       R-
   3 3 0 4 2 3     15432.3534986881    9.156e-03      7     5       R-
   2 4 0 9 7 2     15432.5206494936    1.499e-03     13     5       R+
   4 0 0 9 7 3     15432.6844991755    1.000e-03      1     1       U 
   1 0 2 21 1 20   15432.7264587675    1.285e-02      4     2       R-
   2 2 1 11 3 8    15432.8724580574    2.501e-03      4     2       R-
   2 3 1 5 1 5     15433.1856576007    1.399e-03     16     5       R+
   1 0 0 24 22 3   15433.7130204021    9.875e-03      9     5       R-
   1 0 0 24 22 2   15433.7130204021    9.875e-03      9     2       R-
   0 4 2 14 0 14   15435.9645704910    1.475e-02      3     2       R-
   0 0 4 6 6 0     15436.4146287240    3.000e-03      8     3       R-
   0 0 4 6 6 1     15436.4163447798    2.104e-03      8     6       R+
   4 1 0 2 1 1     15436.4416427612    3.053e-03      3     3       R+
   3 1 1 2 1 1     15439.5481110856    1.175e-03     18     7       R+
   1 2 2 9 5 4     15439.6621646424    3.237e-03      5     3       R-
   1 0 3 9 2 7     15441.3591211012    1.476e-03     10     6       R+
   2 3 1 4 2 3     15441.5601439501    1.497e-03     12     5       R+
   3 2 0 10 5 6    15441.7046601105    1.086e-02      3     3       R-
   0 0 1 26 18 8   15442.8150974808    5.004e-03      6     2       R-
   0 0 1 26 18 9   15442.8150994808    5.004e-03      6     2       R-
   0 0 1 24 22 3   15443.8211139577    4.938e-03      5     3       R-
   0 0 1 24 22 2   15443.8211149577    4.937e-03      5     2       R-
   1 0 3 9 3 7     15445.1653970552    1.334e-03     23     6       R+
   0 2 3 9 4 5     15447.9817785336    2.625e-03      9     5       R+
   0 6 1 14 2 12   15448.0262540932    1.061e-02      5     1       R-
   2 2 1 10 5 5    15448.3243077618    1.513e-03      9     5       R-
   1 0 3 8 5 4     15452.6912074390    1.067e-03     15     5       R+
   2 0 2 11 0 11   15452.7427767353    1.044e-03      4     2       R-
   0 0 0 28 25 3   15452.9896950254    5.741e-03      6     2       R-
   0 0 0 28 25 4   15452.9896950254    5.741e-03      6     3       R-
   2 2 1 9 7 2     15453.1189871243    1.399e-03      7     5       R+
   2 2 1 9 7 3     15453.2202461324    1.312e-03     24     9       R+
   3 1 0 16 4 13   15453.5994659218    2.012e-02      1     1       U 
   0 1 1 21 21 0   15454.9696767437    5.207e-03      4     2       R-
   0 1 1 21 21 1   15454.9696767437    5.207e-03      4     2       R-
   0 2 0 27 15 12  15454.9742008719    4.074e-03      4     1       R-
   0 2 0 27 15 13  15454.9766786114    7.153e-03      2     1       U 
   1 0 3 8 5 3     15455.9815794555    1.167e-03     14     6       R+
   2 3 1 4 2 2     15456.3321530542    1.034e-03     23     7       R+
   3 3 0 3 3 1     15458.5460208504    3.000e-03      2     2       R-
   1 4 1 12 3 9    15458.5836913373    1.412e-02      4     1       R-
   3 3 0 3 3 0     15458.7042439468    3.000e-03      4     2       R-
   1 0 2 22 1 22   15459.6793116191    1.601e-02      5     2       R-
   2 1 1 14 8 6    15459.7887723081    1.681e-02      6     2       R-
   1 0 2 22 0 22   15460.3305879671    2.059e-02      1     1       U 
   2 0 2 9 4 6     15461.5309658038    3.459e-03      3     2       R-
   1 3 2 2 1 2     15461.8122439468    3.000e-03      3     2       R-
   1 5 1 7 2 6     15464.4585953766    3.000e-03      6     2       R-
   2 1 1 16 3 13   15465.4264400816    1.567e-02      4     2       R-
   2 3 1 3 3 1     15465.5356597597    1.180e-03     20     7       R+
   2 3 1 3 3 0     15465.5490859252    1.258e-03      8     4       R+
   0 3 2 11 10 2   15466.8853130574    5.001e-03      1     1       U 
   0 0 0 39 3 37   15469.7209202757    4.306e-03      3     2       R-
   0 0 0 39 2 37   15469.7209232757    4.306e-03      3     2       R-
   0 0 4 8 3 6     15472.9419087625    2.454e-03      3     3       R-
   4 1 0 3 0 3     15473.1046402950    1.349e-03     13     6       R+
   0 2 0 24 20 5   15475.6316812261    4.451e-03      6     3       R-
   0 2 0 24 20 4   15475.6316812261    4.451e-03      6     2       R-
   3 1 1 3 0 3     15476.2214291321    1.733e-03     18     7       R+
   4 1 0 2 2 1     15476.5812773855    1.231e-03     11     6       R+
   0 1 0 29 17 12  15476.8257847147    5.861e-03      3     1       R-
   0 1 0 29 17 13  15476.8679686114    5.700e-03      2     1       R-
   3 2 0 9 7 3     15477.9149991755    1.500e-03      3     3       R-
   4 1 0 2 2 0     15477.9163279409    3.205e-03     10     5       R+
   3 2 0 9 7 2     15477.9211881755    1.055e-02      1     1       U 
   2 2 1 11 4 8    15478.6157851577    4.755e-03      4     3       R+
   4 0 0 12 2 11   15478.7763964096    1.997e-03     13     4       R-
   4 1 0 3 1 3     15478.8543137698    1.198e-03     10     5       R+
   2 0 0 20 18 2   15479.0672167543    1.076e-02      2     2       R-
   2 0 0 20 18 3   15479.0672167543    1.155e-02      2     2       R-
   3 1 1 2 2 1     15479.1311809260    1.040e-03     12     5       R+
   1 3 2 2 1 1     15480.2820521251    2.550e-03      4     2       R-
   3 1 1 2 2 0     15480.5014836837    1.640e-03     16     6       R+
   3 0 1 12 1 11   15481.0571376929    1.139e-03     25    10       R+
   3 0 1 12 2 11   15481.3451643218    1.067e-03      7     5       R+
   3 1 1 3 1 3     15481.6952508264    1.261e-03     21     8       R+
   0 0 4 7 5 3     15483.1144918013    3.000e-03      2     2       R-
   1 0 1 20 18 2   15483.6448500740    2.459e-02      3     2       R-
   1 0 1 20 18 3   15483.6448500740    2.459e-02      3     2       R-
   0 0 4 7 5 2     15483.6540623253    1.418e-03      6     5       R+
   0 5 1 19 2 18   15484.7702031859    1.605e-02     10     4       R-
   3 2 0 10 6 5    15487.2966795518    1.040e-02      9     4       R-
   0 1 1 31 2 29   15487.6355127757    1.142e-02      2     2       R-
   0 1 1 31 3 29   15487.6362547757    1.073e-02      2     2       R-
   3 2 0 10 6 4    15487.6797874060    8.001e-03      1     1       U 
   0 2 3 10 2 8    15488.0358071625    3.000e-03      7     2       R-
   0 2 1 29 2 28   15491.3368413140    1.017e-02      6     3       R-
   2 0 2 9 4 5     15491.6933202057    1.051e-03     12     7       R+
   2 2 1 10 6 4    15492.5820496054    2.251e-03      7     5       R+
   3 0 1 8 8 1     15492.7725993973    6.996e-03      3     3       R+
   3 0 1 8 8 0     15492.7726443973    6.995e-03      3     3       R+
   1 0 3 7 6 2     15494.3330540897    3.000e-03      1     1       U 
   1 0 3 7 6 1     15494.3334468482    3.000e-03      1     1       U 
   0 2 3 10 3 8    15494.3497651456    3.001e-03      4     3       R-
   0 2 3 7 7 1     15496.3937620962    2.381e-03      8     8       R+
   0 2 3 7 7 0     15496.3937790962    2.377e-03      8     5       R+
   2 0 1 21 3 19   15498.1510234334    1.802e-02      5     2       R-
   2 4 0 11 5 6    15498.6268499423    1.340e-03      2     2       R-
   2 0 1 21 2 19   15499.1236589067    1.163e-02      3     2       R-
   0 3 2 19 0 19   15499.9114403927    1.465e-02      3     1       R-
   0 2 3 8 6 3     15506.6015991755    3.000e-03      1     1       U 
   0 2 3 8 6 2     15506.6551438073    1.532e-03      8     4       R+
   4 0 0 13 1 13   15508.1994476172    2.026e-02      1     1       U 
   4 0 0 13 0 13   15508.2219143865    1.801e-02      6     2       R-
   3 3 0 5 1 4     15509.1435875227    3.000e-03      3     2       R-
   3 0 1 13 0 13   15510.9150272455    1.087e-03      5     3       R-
   3 0 1 13 1 13   15510.9183991681    1.736e-03     24    10       R-
   4 1 0 3 1 2     15510.9736671584    1.777e-03     17     5       R+
   0 0 0 29 23 6   15511.4223206376    4.351e-03      5     2       R-
   0 0 0 29 23 7   15511.4223496376    4.352e-03      5     2       R-
   1 5 1 6 3 3     15512.4207310539    2.000e-02      1     1       U 
   3 1 1 3 1 2     15514.0599122840    1.615e-03     18     6       R+
   1 0 1 26 5 21   15514.5790246670    1.164e-02      3     1       R-
   0 2 2 20 4 17   15515.4666236071    1.996e-02      5     2       R-
   2 0 2 8 6 3     15516.2957877170    1.532e-03     10     6       R+
   2 0 2 8 6 2     15516.6938440232    1.383e-03      4     4       R+
   0 0 0 31 19 12  15517.9782789573    1.433e-02      4     2       R-
   0 0 0 31 19 13  15517.9782819573    1.433e-02      4     2       R-
   1 4 1 11 5 6    15519.4732814480    8.002e-03      1     1       U 
   2 3 1 5 1 4     15520.1733108643    1.432e-03     10     6       R+
   0 0 0 32 17 15  15521.0953976096    2.716e-02      2     1       R-
   0 1 1 27 10 18  15521.2780959205    1.202e-02      2     1       R-
   2 0 1 15 14 1   15521.4091715547    1.090e-02      2     2       R-
   2 0 1 15 14 2   15521.4091815547    1.089e-02      2     2       R-
   0 1 1 33 1 33   15521.6717434528    1.500e-02      5     3       R-
   0 1 1 33 0 33   15521.6813404528    1.912e-02      1     1       U 
   3 0 1 11 4 8    15522.6685794043    3.378e-03     13     8       R+
   1 0 3 10 1 9    15522.6805926323    1.158e-03     19     6       R+
   1 0 3 10 2 9    15522.7036136854    1.965e-03      8     6       R+
   0 0 0 30 21 9   15522.7685901420    4.642e-03      4     2       R-
   0 0 0 30 21 10  15522.7685911420    4.642e-03      4     2       R-
   1 0 3 9 3 6     15525.0962444192    1.671e-03     12     6       R+
   1 1 1 24 3 21   15525.6288237954    1.430e-02      6     1       R-
   3 0 1 11 3 8    15526.8078972527    2.623e-02      2     2       R-
   3 0 0 15 14 1   15528.3347055803    1.017e-02      6     2       R-
   3 0 0 15 14 2   15528.3347065803    1.017e-02      6     2       R-
   0 0 4 8 3 5     15528.9161484594    2.000e-03      1     1       U 
   0 2 0 23 22 2   15530.6647688532    6.110e-03      6     2       R-
   0 2 0 23 22 1   15530.6647688532    6.110e-03      6     3       R-
   2 2 1 11 4 7    15533.6760888834    4.073e-03      9     4       R+
   0 0 3 20 2 18   15534.2014719046    4.163e-03      2     2       R-
   0 0 3 20 3 18   15534.2275909576    2.055e-02      1     1       U 
   0 3 3 0 0 0     15534.7113278852    3.933e-03      3     3       R+
   3 3 0 6 1 6     15534.7298686161    1.480e-03      8     3       R-
   0 0 1 33 4 30   15535.5726098166    1.689e-02      3     2       R-
   0 0 1 33 3 30   15535.5730588166    1.832e-02      3     2       R-
   0 1 0 25 25 0   15537.0034153491    7.136e-03      7     3       R-
   0 1 0 25 25 1   15537.0034153491    7.136e-03      7     2       R-
   4 0 0 10 6 5    15537.1411382707    1.241e-03      8     5       R+
   1 0 1 28 2 26   15537.4630687195    1.643e-02      3     2       R-
   4 0 0 10 6 4    15539.2090874060    8.001e-03      1     1       U 
   0 2 3 12 0 12   15539.2427799536    1.604e-02      5     1       R-
   3 0 1 10 6 5    15539.4545058461    3.402e-02      2     1       R-
   3 0 1 10 6 4    15540.0358541161    1.374e-03     18     9       R+
   0 4 1 21 4 18   15541.7537422928    1.012e-02      3     2       R-
   0 0 4 9 1 8     15542.3977484205    1.098e-03     13     7       R+
   3 3 0 5 2 4     15543.1822432115    3.000e-03      2     2       R-
   2 3 1 6 0 6     15543.9921500127    2.402e-03     15     7       R+
   4 1 0 3 2 2     15544.1148436672    1.703e-03     10     5       R+
   0 1 0 28 19 9   15544.6606339886    3.830e-03      5     2       R-
   0 1 0 28 19 10  15544.6606689886    3.829e-03      5     2       R-
   2 1 1 12 11 1   15545.5133053971    6.046e-03      7     3       R-
   2 1 1 12 11 2   15545.5133123971    6.046e-03      7     2       R-
   0 2 3 11 2 10   15545.6721521900    4.793e-03      7     4       R+
   0 6 1 15 2 14   15546.4340547192    2.056e-02      1     1       U 
   2 3 1 6 1 6     15546.4599987211    6.840e-03     10     5       R+
   3 1 1 3 2 2     15546.6356642315    1.902e-03     28     6       R+
   0 2 2 23 0 23   15547.2818930756    1.729e-02      6     2       R-
   4 0 0 11 4 8    15548.0070314480    4.302e-03      2     2       R-
   0 0 4 9 2 8     15548.2307143794    2.018e-03      3     3       R+
   1 5 1 9 1 9     15549.6179848081    1.283e-02      4     1       R-
   4 1 0 3 2 1     15550.2856119626    1.369e-03     19     7       R+
   3 3 0 4 3 2     15551.1024436843    4.947e-03     15     7       R+
   4 0 0 11 3 8    15551.7424752959    3.069e-03      5     5       R+
   1 0 3 9 4 6     15552.2510875922    1.511e-03     18     7       R+
   2 3 1 5 2 4     15552.2548928898    1.365e-03     23     7       R+
   4 1 0 4 0 4     15552.6389205746    1.613e-03      9     6       R+
   3 1 1 3 2 1     15552.9183112400    1.310e-03     22     6       R+
   1 0 3 7 7 0     15553.5529882544    1.379e-03      8     6       R+
   1 0 3 7 7 1     15553.5530928066    1.321e-03      8     7       R+
   0 5 2 5 3 2     15554.0729414497    2.292e-03      4     2       R-
   3 1 1 4 0 4     15555.3023268931    1.764e-03     22     8       R+
   0 2 3 9 5 5     15555.4241004852    2.000e-03      1     1       U 
   1 0 3 11 0 11   15556.7283571042    1.022e-02     15     5       R+
   1 0 3 11 1 11   15556.7377329903    1.523e-03     23    11       R+
   3 0 0 17 11 7   15556.7522781982    1.285e-02      2     2       R-
   3 0 0 17 11 6   15556.7619077105    1.209e-02      9     3       R-
   4 1 0 4 1 4     15556.8960441364    1.182e-03     26     7       R+
   3 1 1 4 1 4     15556.9280707187    1.197e-03     19     7       R+
   0 2 3 9 5 4     15557.9638723794    5.398e-03      2     2       R-
   0 3 3 1 0 1     15557.9842173963    1.583e-03      3     2       R-
   1 2 1 14 14 1   15559.8354462442    6.843e-03      4     2       R-
   1 2 1 14 14 0   15559.8354462442    6.843e-03      4     3       R-
   2 3 1 4 3 1     15559.9376741395    1.394e-03     20     7       R+
   3 0 0 22 1 21   15560.3170713719    2.303e-02      1     1       U 
   3 0 0 22 2 21   15560.3248563719    1.892e-02      5     3       R-
   2 3 1 4 3 2     15560.6386761367    1.211e-03     20     6       R+
   2 1 1 17 3 15   15563.0587489381    1.647e-02      3     2       R-
   2 0 2 10 3 8    15563.7239544371    3.001e-03      4     2       R-
   0 2 1 25 8 18   15567.2766717768    1.382e-02      2     1       R-
   2 0 0 29 2 28   15567.8570326036    2.339e-02      1     1       U 
   2 0 0 29 1 28   15567.8630626036    2.103e-02      2     2       U 
   2 2 1 12 2 10   15568.9384976239    1.770e-03     14     9       R+
   3 3 0 5 2 3     15568.9799890260    3.000e-03      1     1       U 
   1 0 3 9 4 5     15569.7926224594    3.000e-03      1     1       U 
   0 0 4 8 4 5     15570.8657383945    5.005e-03      4     3       R+
   0 1 1 29 5 24   15573.9390450160    2.036e-02      1     1       U 
   0 1 1 29 6 24   15573.9660813250    2.111e-02      1     1       U 
   2 2 1 14 0 14   15576.6263208272    1.763e-02      4     1       R-
   0 3 3 1 1 1     15576.9083837006    1.962e-03      8     5       R+
   0 4 1 22 2 20   15577.2557522013    1.630e-02      7     3       R-
   2 0 1 22 1 21   15578.1330229459    1.007e-02      6     2       R-
   2 5 0 5 4 1     15578.5213890260    3.000e-03      1     1       U 
   2 3 1 5 2 3     15581.8065583912    1.570e-03      8     5       R+
   0 0 4 10 0 10   15582.1722516422    2.005e-02      1     1       U 
   0 0 4 10 1 10   15582.1801544371    3.001e-03      5     3       R-
   3 0 0 23 1 23   15582.9654104663    1.498e-02      4     2       R-
   3 0 0 23 0 23   15582.9661964663    1.630e-02      4     3       R-
   0 3 3 1 1 0     15583.2581405613    1.415e-03      5     4       R+
   1 0 3 8 6 2     15584.1630439731    1.302e-03     12     6       R+
   1 0 3 8 6 3     15584.1950991755    1.500e-03      3     3       R-
   2 4 0 12 4 8    15586.0181029050    5.012e-03      1     1       U 
   3 1 0 19 0 19   15586.6252072989    1.137e-02      2     1       R-
   0 2 0 26 17 9   15586.7171461377    3.754e-03      3     3       R-
   0 2 0 26 17 10  15586.7178799997    3.703e-03      5     2       R-
   3 2 0 14 1 14   15590.4433077894    1.715e-02      6     1       R-
   2 0 2 9 5 4     15594.1512896028    1.743e-03      9     6       R+
   1 5 1 5 4 2     15595.5983077440    1.175e-02      2     2       R-
   1 7 0 9 3 7     15596.8483699982    1.982e-03      2     1       R-
   1 3 2 4 1 4     15597.8926626245    3.000e-03      3     2       R-
   3 1 0 18 2 17   15598.6934505200    1.321e-02      8     2       R-
   2 0 2 9 5 5     15600.2920487475    1.174e-03     10     7       R+
   0 2 3 10 3 7    15601.2113203580    3.000e-03      4     2       R-
   0 2 2 21 2 19   15601.3965818719    1.247e-02      5     3       R-
   0 1 0 27 21 6   15601.4695722544    4.628e-03      6     2       R-
   0 1 0 27 21 7   15601.4695732544    4.628e-03      6     3       R-
   2 1 1 13 10 3   15602.2171121387    1.301e-02      9     2       R-
   2 1 1 13 10 4   15602.2176173300    1.244e-02      9     2       R-
   0 3 3 2 0 2     15603.1570312185    1.430e-03      7     5       R+
   0 0 4 7 6 1     15603.3379954671    1.555e-03      5     3       R-
   1 5 1 8 1 7     15603.3983891591    1.696e-02      4     1       R-
   3 2 0 13 1 12   15603.8017112638    8.003e-03      2     2       R-
   2 1 1 19 1 19   15604.0592070286    1.295e-02      7     2       R-
   2 0 1 23 1 23   15604.2500979812    2.047e-02      8     3       R-
   2 0 1 23 0 23   15604.2505536478    1.949e-02      8     2       R-
   0 4 1 20 5 15   15606.0035806860    1.689e-02      4     2       R-
   4 0 0 11 4 7    15606.7657493113    1.440e-02      9     3       R-
   4 1 0 4 1 3     15608.1647839396    6.314e-03      7     5       R+
   2 1 1 18 1 17   15609.1219011473    1.627e-02      2     1       R-
   3 0 1 9 7 2     15609.6772631894    3.500e-03      8     4       R+
   3 0 1 9 7 3     15609.6780461894    3.766e-03      9     3       R-
   3 0 1 11 4 7    15610.4620082331    5.098e-03      5     4       R-
   3 1 1 4 1 3     15611.1764715296    1.109e-03     30    10       R+
   0 0 2 27 3 24   15611.2748554293    1.045e-02      1     1       U 
   1 4 1 13 3 11   15611.3021502754    1.335e-02      6     2       R-
   2 2 1 9 8 1     15612.6166758736    1.038e-02      5     4       R-
   2 2 1 9 8 2     15612.6181599142    9.650e-03      5     5       R-
   1 4 1 12 4 8    15615.0844826540    4.558e-03      6     3       R-
   2 2 1 13 2 12   15615.4972057215    4.018e-03      1     1       U 
   0 3 3 2 1 2     15617.1437272986    1.702e-03      8     4       R+
   1 2 2 9 6 3     15617.1654581971    3.000e-03      4     3       R-
   1 2 2 9 6 4     15617.1696811971    1.044e-02      1     1       U 
   0 1 0 26 23 3   15617.1699349623    6.396e-03      5     2       R-
   0 1 0 26 23 4   15617.1699349623    6.396e-03      5     2       R-
   1 3 2 3 2 1     15617.2170251162    1.845e-03      4     4       R-
   0 0 3 21 1 20   15618.4009711572    1.995e-02      3     2       R-
   0 0 3 21 2 20   15618.4020100596    1.957e-02      3     2       R-
   1 1 1 25 3 23   15623.2553593314    1.540e-02      5     2       R-
   1 1 1 25 2 23   15623.5115766935    2.051e-02      1     1       U 
   4 1 0 3 3 1     15624.3282403849    1.939e-03      7     4       R+
   4 1 0 3 3 0     15624.5382917227    1.452e-03     13     6       R+
   3 1 1 3 3 1     15626.5283202397    1.971e-03     13     6       R+
   3 1 1 3 3 0     15626.7475139251    1.270e-03     14     6       R+
   0 5 1 21 1 21   15632.8197047116    6.314e-03      7     5       R-
   4 1 0 4 2 3     15632.9161832999    1.069e-03     21     7       R+
   0 2 2 22 2 21   15634.2548746458    1.098e-02      3     2       R-
   1 0 1 29 2 28   15635.2061435596    1.025e-02      3     2       R-
   1 0 1 29 1 28   15635.2070188096    1.111e-02      3     2       R-
   3 1 1 4 2 3     15635.3902031612    1.459e-03     14     4       R+
   0 3 3 2 1 1     15636.1507215493    1.375e-03      9     5       R+
   2 0 2 11 1 10   15636.4035848536    1.496e-02      4     1       R-
   1 1 1 27 1 27   15636.7734437396    1.910e-02      5     2       R-
   0 0 3 19 5 15   15642.3731764607    1.573e-02      2     1       R-
   1 3 1 20 0 20   15646.5761845777    1.513e-02      4     2       R-
   3 0 1 11 5 6    15648.6409242599    1.783e-03      4     4       R+
   4 1 0 5 0 5     15648.7321547145    1.101e-03     13     5       R+
   4 1 0 4 2 2     15648.9966891828    3.004e-03     10     5       R+
   4 1 0 5 1 5     15649.3360435326    1.719e-03     11     4       R+
   0 6 1 10 7 4    15650.3517769518    5.030e-03      1     1       U 
   0 6 1 10 7 3    15650.3872706038    8.392e-03      3     3       R-
   0 4 1 23 2 22   15650.7482082539    1.766e-02      8     2       R-
   3 3 0 6 1 5     15651.1309412157    3.000e-03      2     2       R-
   3 1 1 4 2 2     15651.7954803536    1.993e-03     24     8       R+
   3 1 1 5 0 5     15651.8423485345    1.207e-03     17     7       R+
   0 0 3 22 0 22   15652.0794229377    1.269e-02      4     2       R-
   0 0 3 22 1 22   15652.0795129377    1.261e-02      4     2       R-
   3 1 1 5 1 5     15652.5492806292    1.192e-03     21     6       R+
   4 0 0 12 2 10   15652.8228213481    8.002e-03      2     2       R-
   0 1 0 37 2 35   15653.8653750187    4.374e-03      2     2       R-
   0 1 0 37 3 35   15653.8654840187    4.516e-03      2     2       R-
   4 0 0 12 3 10   15653.9511983227    3.000e-03     10     3       R-
   1 0 1 30 0 30   15657.2662186081    1.301e-02      3     1       R-
   3 0 1 12 2 10   15657.7958693761    6.556e-03     13     5       R+
   1 2 2 10 5 6    15657.9013289276    3.000e-03      2     2       R-
   1 0 3 9 5 5     15658.3302280185    2.497e-03      4     3       R+
   3 0 1 12 3 10   15658.5408152004    1.992e-03      6     4       R+
   1 0 3 10 2 8    15660.7254870245    1.980e-03     11     6       R+
   1 0 0 28 15 14  15661.3187693501    1.601e-02      4     2       R-
   1 0 3 10 3 8    15661.8164669388    6.197e-03      6     4       R+
   2 3 1 6 1 5     15662.0136148155    3.692e-03     12     6       R+
   2 0 2 10 3 7    15663.2834856183    8.001e-03      1     1       U 
   4 0 0 10 7 4    15664.0462550059    5.547e-03     10     4       R-
   1 0 3 9 5 4     15666.8847532630    1.869e-03      8     4       R+
   0 0 0 40 2 39   15666.9762341046    4.458e-03      3     2       R-
   0 0 0 40 1 39   15666.9762351046    4.458e-03      3     2       R-
   2 0 1 16 13 3   15667.0988043350    6.241e-03      6     3       R-
   2 0 1 16 13 4   15667.0988623350    6.242e-03      6     2       R-
   2 3 1 7 1 7     15667.1018820528    1.680e-03     12     5       R+
   0 3 3 3 0 3     15667.8103060945    1.590e-03      6     6       R+
   2 0 2 12 1 12   15668.3442925091    3.002e-03      6     3       R-
   0 3 0 22 18 5   15668.4412066551    4.389e-03      2     2       R-
   0 3 0 22 18 4   15668.4412106551    4.389e-03      2     2       R-
   3 3 0 5 3 3     15669.1904027936    1.176e-02      4     3       R+
   0 0 4 9 2 7     15669.8140879852    4.917e-03      6     3       R-
   0 0 4 8 5 4     15671.1818067133    2.790e-03      7     3       R-
   3 3 0 5 3 2     15671.7871462082    1.939e-03      9     6       R+
   0 1 1 23 18 5   15673.0171575190    1.552e-02      4     2       R-
   0 1 1 23 18 6   15673.0171735190    1.552e-02      4     2       R-
   3 3 0 6 2 5     15673.9719987659    1.241e-03      9     4       R+
   2 3 1 7 0 7     15674.7565507487    1.517e-03      6     4       R+
   2 3 1 5 3 3     15676.3364600079    1.698e-03     25     7       R+
