v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,19,0,19,1926.537560,161.8
0,1,0,10,2,8,1931.111677,64.4
0,1,0,10,3,8,1942.961855,118.2
0,0,0,16,5,11,1947.660595,458.6
0,1,0,11,1,10,1978.241098,127.1
0,1,0,11,2,10,1978.856435,118.6
0,1,0,10,3,7,1980.646035,64.3
0,0,0,13,10,4,1981.912972,123.4
0,0,0,13,10,3,1981.913568,178.2
0,1,0,8,6,3,1985.263416,118.2
0,1,0,8,6,2,1985.266333,100.8
0,0,0,12,11,2,1986.484460,11.4
0,0,0,12,11,1,1986.484460,12.0
0,1,0,12,0,12,1988.901214,167.0
0,1,0,12,1,12,1988.909596,184.9
0,1,0,9,5,5,1989.523995,120.2
0,1,0,9,5,4,1989.891463,116.1
0,0,0,17,3,14,1992.866794,413.4
0,0,0,17,4,14,1994.570104,310.2
0,0,0,14,9,5,2000.280964,166.4
0,0,0,14,9,6,2000.281155,173.7
0,0,0,16,6,11,2005.034031,518.2
0,1,0,7,7,1,2010.484990,117.2
0,1,0,7,7,0,2010.485092,125.9
0,0,0,16,6,10,2017.295280,457.3
0,1,0,10,4,7,2023.755308,115.0
0,1,0,10,4,6,2033.414608,97.7
0,0,0,15,8,8,2043.821846,415.9
0,0,0,15,8,7,2043.876600,12.0
0,0,0,18,2,16,2063.543212,407.8
0,0,0,18,3,16,2063.607457,532.1
0,1,0,11,2,9,2065.757309,115.1
0,1,0,11,3,9,2073.231840,125.0
0,0,0,17,4,13,2094.974068,543.0
0,1,0,9,6,4,2096.723378,67.3
0,1,0,9,6,3,2096.738298,116.2
0,0,0,19,1,18,2106.628317,743.8
0,0,0,19,2,18,2106.629627,639.0
0,0,0,17,5,13,2107.831680,391.0
0,1,0,12,1,11,2109.273149,110.4
0,1,0,8,7,2,2109.572378,195.3
0,1,0,8,7,1,2109.573917,144.2
0,1,0,12,2,11,2109.587078,142.4
0,1,0,10,5,6,2113.775018,103.1
0,1,0,10,5,5,2114.793283,106.5
0,0,0,16,7,10,2115.319100,12.0
