v1  v2  v3  v4  l4  v5  l5  k  J   ef  op     Energy        Unc       NumTrans  u/g  Sym
0   0   0   1   1   1   -1  0  23  f   ortho  1991.434489   0.001084  37        u    sigma_u_minus
0   0   0   2   2   0   0   2  25  e   ortho  1991.902424   0.000609  28        g    delta_g
0   0   0   1   1   1   1   2  23  f   ortho  1993.571143   0.000522  43        u    delta_u
0   0   0   0   0   2   0   0  21  e   ortho  1993.963374   0.000472  36        g    sigma_g_plus
0   0   0   2   0   1   1   1  5   f   ortho  1995.087276   0.001299  17        u    pi_u
0   0   0   2   2   1   1   3  5   f   ortho  1997.355143   0.000472  21        u    phi_u
0   0   0   2   0   0   0   0  25  e   ortho  1998.860287   0.000470  26        g    sigma_g_plus
0   0   0   0   0   2   2   2  21  e   ortho  2003.944953   0.000626  36        g    delta_g
0   0   0   2   2   1   -1  1  7   f   ortho  2006.388963   0.000504  23        u    pi_u
0   0   0   3   3   0   0   3  11  e   ortho  2007.001710   0.001094  11        g    phi_g
0   0   0   2   0   1   1   1  6   e   ortho  2009.359356   0.001142  23        u    pi_u
0   1   0   0   0   0   0   0  5   e   ortho  2009.428485   0.001286  8         g    sigma_g_plus
0   0   0   3   1   0   0   1  11  e   ortho  2009.849305   0.000652  20        g    pi_g
0   0   0   2   2   1   1   3  6   e   ortho  2011.524820   0.000422  25        u    phi_u
0   0   0   1   1   0   0   1  34  f   ortho  2014.177035   0.000867  33        g    pi_g
0   0   0   0   0   0   0   0  41  e   ortho  2021.367563   0.000868  31        g    sigma_g_plus
0   0   0   2   2   1   -1  1  8   e   ortho  2024.799923   0.000617  26        u    pi_u
0   0   0   2   0   1   1   1  7   f   ortho  2025.758616   0.001098  18        u    pi_u
0   0   0   2   2   1   1   3  7   f   ortho  2028.056465   0.000526  23        u    phi_u
0   0   0   1   1   1   -1  0  24  e   ortho  2035.142887   0.000322  46        u    sigma_u_plus
0   0   0   3   3   0   0   3  12  f   ortho  2035.324499   0.000671  9         g    phi_g
0   0   0   3   1   0   0   1  12  f   ortho  2039.656698   0.000705  20        g    pi_g
0   1   0   0   0   0   0   0  7   e   ortho  2039.857023   0.001285  8         g    sigma_g_plus
0   0   0   2   0   1   1   1  8   e   ortho  2044.828885   0.000569  26        u    pi_u
0   0   0   2   2   1   -1  1  9   f   ortho  2046.687459   0.000568  20        u    pi_u
0   0   0   2   2   1   1   3  8   e   ortho  2046.950223   0.000490  21        u    phi_u
0   0   0   1   1   2   0   1  1   e   ortho  2050.232293   0.000998  5         g    pi_g
0   0   0   1   1   1   1   2  24  e   ortho  2050.707080   0.000424  49        u    delta_u
0   0   0   0   0   1   1   1  33  f   ortho  2052.291611   0.000620  30        u    pi_u
0   0   0   1   1   2   0   1  2   f   ortho  2055.001424   0.000836  10        g    pi_g
0   0   0   0   0   2   2   2  22  f   ortho  2055.329511   0.000770  34        g    delta_g
0   0   0   2   2   0   0   2  26  f   ortho  2055.700869   0.000587  29        g    delta_g
0   0   0   1   1   2   0   1  3   e   ortho  2062.011051   0.001087  15        g    pi_g
0   0   0   3   3   0   0   3  13  e   ortho  2065.859409   0.001153  10        g    phi_g
0   0   0   2   0   1   1   1  9   f   ortho  2065.860842   0.001018  17        u    pi_u
0   0   0   1   -1  2   2   1  1   e   ortho  2068.161538   0.002652  5         g    pi_g
0   0   0   2   2   1   1   3  9   f   ortho  2068.206166   0.000529  21        u    phi_u
0   0   0   3   1   0   0   1  13  e   ortho  2068.718783   0.000645  19        g    pi_g
0   0   0   2   2   1   -1  1  10  e   ortho  2069.543618   0.000532  23        u    pi_u
0   0   0   1   1   2   0   1  4   f   ortho  2071.625739   0.000721  13        g    pi_g
0   0   0   1   -1  2   2   1  2   f   ortho  2072.873255   0.002804  4         g    pi_g
0   1   0   0   0   0   0   0  9   e   ortho  2079.645064   0.001281  8         g    sigma_g_plus
0   0   0   1   -1  2   2   1  3   e   ortho  2080.003537   0.001923  10        g    pi_g
0   0   0   1   1   2   0   1  5   e   ortho  2083.212289   0.000621  17        g    pi_g
0   0   0   1   1   2   2   3  3   e   ortho  2088.358695   0.000631  8         g    phi_g
0   0   0   1   -1  2   2   1  4   f   ortho  2089.393206   0.001234  9         g    pi_g
0   0   0   2   0   1   1   1  10  e   ortho  2089.748842   0.000588  26        u    pi_u
0   0   0   1   1   0   0   1  35  e   ortho  2089.999784   0.000899  25        g    pi_g
0   0   0   2   2   1   1   3  10  e   ortho  2091.824585   0.000512  22        u    phi_u
0   0   0   2   2   1   -1  1  11  f   ortho  2096.458398   0.000576  23        u    pi_u
0   0   0   1   1   2   0   1  6   f   ortho  2097.747971   0.000678  16        g    pi_g
0   0   0   1   1   2   2   3  4   f   ortho  2097.810795   0.000479  15        g    phi_g
0   0   0   3   3   0   0   3  14  f   ortho  2098.943624   0.000669  10        g    phi_g
0   0   0   0   0   2   0   0  23  e   ortho  2099.916333   0.000669  34        g    sigma_g_plus
0   0   0   1   -1  2   2   1  5   e   ortho  2101.318255   0.001912  11        g    pi_g
0   0   0   3   1   0   0   1  14  f   ortho  2103.733032   0.000713  19        g    pi_g
0   0   0   1   1   1   -1  0  25  f   ortho  2106.880842   0.001310  29        u    sigma_u_minus
0   0   0   1   1   1   1   2  25  f   ortho  2109.001410   0.000522  41        u    delta_u
0   0   0   1   1   2   2   3  5   e   ortho  2109.625690   0.000480  11        g    phi_g
0   0   0   0   0   2   2   2  23  e   ortho  2110.260968   0.000884  28        g    delta_g
0   0   0   1   1   2   0   1  7   e   ortho  2113.833020   0.000549  21        g    pi_g
0   0   0   1   -1  2   2   1  6   f   ortho  2115.352066   0.001071  10        g    pi_g
0   0   0   2   0   1   1   1  11  f   ortho  2115.389305   0.000518  21        u    pi_u
0   0   0   2   2   0   0   2  27  e   ortho  2116.114575   0.000608  23        g    delta_g
0   0   0   2   2   1   1   3  11  f   ortho  2117.805472   0.000481  21        u    phi_u
0   0   0   2   2   1   -1  1  12  e   ortho  2123.696290   0.000557  24        u    pi_u
0   0   0   1   1   2   2   3  6   f   ortho  2123.803229   0.000484  12        g    phi_g
0   0   0   2   0   0   0   0  27  e   ortho  2124.141123   0.000526  27        g    sigma_g_plus
0   0   0   0   0   1   1   1  34  e   ortho  2126.810253   0.000540  36        u    pi_u
0   1   0   0   0   0   0   0  11  e   ortho  2128.789506   0.001281  8         g    sigma_g_plus
0   0   0   1   -1  2   2   1  7   e   ortho  2132.104539   0.001912  11        g    pi_g
0   0   0   1   1   2   0   1  8   f   ortho  2133.364872   0.000588  19        g    pi_g
0   0   0   3   3   0   0   3  15  e   ortho  2134.069026   0.001125  11        g    phi_g
0   0   0   3   1   0   0   1  15  e   ortho  2137.051584   0.000972  19        g    pi_g
0   0   0   1   1   2   2   3  7   e   ortho  2140.343509   0.000486  12        g    phi_g
0   0   0   2   0   1   1   1  12  e   ortho  2144.113433   0.000571  24        u    pi_u
0   0   0   2   2   1   1   3  12  e   ortho  2146.149517   0.000498  21        u    phi_u
0   0   0   1   -1  2   2   1  8   f   ortho  2150.747778   0.001219  10        g    pi_g
0   0   0   1   1   2   0   1  9   e   ortho  2153.870619   0.000497  18        g    pi_g
0   0   0   1   1   1   -1  0  26  e   ortho  2155.112441   0.000332  40        u    sigma_u_plus
0   0   0   2   2   1   -1  1  13  f   ortho  2155.695736   0.000640  20        u    pi_u
